"The model with id ""%1"" does not exist.","The model with id ""%1"" does not exist."
"Time Slot with id ""%1"" does not exist.","Time Slot with id ""%1"" does not exist."
"Reward Product with id ""%1"" does not exist.","Reward Product with id ""%1"" does not exist."
"Reward record with id ""%1"" does not exist.","Reward record with id ""%1"" does not exist."
"Reward Amount","Reward Amount"
"Reward point on registration","Reward point on registration"
"You got %1 reward points on registration","You got %1 reward points on registration"
" have registered on your site, and got %1 reward points"," have registered on your site, and got %1 reward points"
"You got %1 reward points on order #%2","You got %1 reward points on order #%2"
" have placed an order on your site, and got %1 reward points"," have placed an order on your site, and got %1 reward points"
"Order id : %1 debited amount","Order id : %1 debited amount"
"You used %1 reward points on order #%2","You used %1 reward points on order #%2"
" have placed an order on your site, and used %1 reward points"," have placed an order on your site, and used %1 reward points"
"Order id : %1 Credited amount on order item cancel","Order id : %1 Credited amount on order item cancel"
"Revert %1 reward points on order #%2 item cancel","Revert %1 reward points on order #%2 item cancel"
" Revert %1 reward points on order #%2 item cancel"," Revert %1 reward points on order #%2 item cancel"
"Order id : %1 Debited amount on order item cancel","Order id : %1 Debited amount on order item cancel"
"Buy and Earn","Buy and Earn"
"Checkout now to","Checkout now to"
"earn %1 Reward Points","earn %1 Reward Points"
"Reward Point for product review on %1","Reward Point for product review on %1"
"You got %1 reward points for product review","You got %1 reward points for product review"
"'s product review get approved, and got %1 reward points","'s product review get approved, and got %1 reward points"
"""Maximum Reward Points can be Used By a Customer"" can not be greater than
                     ""Maximum Reward Points can Assign to a Customer""","""Maximum Reward Points can be Used By a Customer"" can not be greater than
                     ""Maximum Reward Points can Assign to a Customer"""
"""Reward Points On Registration"" can not be greater than
                     ""Maximum Reward Points can Assign to a Customer""","""Reward Points On Registration"" can not be greater than
                     ""Maximum Reward Points can Assign to a Customer"""
"""Reward Points On Product Review"" can not be greater than
                     ""Maximum Reward Points can Assign to a Customer""","""Reward Points On Product Review"" can not be greater than
                     ""Maximum Reward Points can Assign to a Customer"""
"""Reward Points On Birthday"" can not be greater than
                     ""Maximum Reward Points can Assign to a Customer""","""Reward Points On Birthday"" can not be greater than
                     ""Maximum Reward Points can Assign to a Customer"""
"You saved the configuration.","You saved the configuration."
"Something went wrong while saving this configuration:","Something went wrong while saving this configuration:"
Edit,Edit
"Individual Details","Individual Details"
Website,Website
"Customer Group","Customer Group"
"Date Range","Date Range"
Refresh,Refresh
Statistics,Statistics
"Showing Data of","Showing Data of"
"Total Reward Points Rewarded","Total Reward Points Rewarded"
"Total Reward Points Redeemed","Total Reward Points Redeemed"
"Average Reward point per Customer","Average Reward point per Customer"
"Average Redeemed point per order","Average Redeemed point per order"
"Total Expired Points","Total Expired Points"
"Enter Points","Enter Points"
"Reward Point Status","Reward Point Status"
"Update point for category","Update point for category"
"Update Points","Update Points"
"Update point for product","Update point for product"
"Apply Reward Point(s)","Apply Reward Point(s)"
"You have","You have"
"Per Reward Point","Per Reward Point"
Amount,Amount
"Enter Your Reward Points:","Enter Your Reward Points:"
"Enter Reward points","Enter Reward points"
"Applied Rewards","Applied Rewards"
Using,Using
Rewards,Rewards
of,of
Cancel,Cancel
"You will Earn","You will Earn"
"%1 RP","%1 RP"
"Create an account and get %1 Reward Points to begin your shopping experience with us","Create an account and get %1 Reward Points to begin your shopping experience with us"
"Referral Report","Referral Report"
"Invite your friends by","Invite your friends by"
"Can add multiple address with comma","Can add multiple address with comma"
"Send Invites","Send Invites"
"Share the referral link","Share the referral link"
Copy,Copy
"Refer Via Social","Refer Via Social"
"Referred Users","Referred Users"
Id,Id
Date,Date
Receiver,Receiver
"Receiver Discount","Receiver Discount"
"Your Earning","Your Earning"
Registered,Registered
RP,RP
"No records found!","No records found!"
"How Referral Program Works","How Referral Program Works"
"Step 1:","Step 1:"
"Send Invitation","Send Invitation"
"Step 2:","Step 2:"
"User Registration","User Registration"
"Step 3:","Step 3:"
"Please contact to Admin.","Please contact to Admin."
"%1 Reward Points will be used to purchase these item(s)","%1 Reward Points will be used to purchase these item(s)"
"Accrue %1 Reward Points after purchasing these item(s)","Accrue %1 Reward Points after purchasing these item(s)"
"Buy for %1 to %2 and ","Buy for %1 to %2 and "
" click here"," click here"
" to login"," to login"
" Reward Points"," Reward Points"
"Current Balance","Current Balance"
"Reward points from your balance is expiring on","Reward points from your balance is expiring on"
"Total Earned","Total Earned"
"Total Spent","Total Spent"
"Reward Information","Reward Information"
"Click here for more information","Click here for more information"
Type,Type
Points,Points
"Select Type","Select Type"
"Search by Point","Search by Point"
"Select Status","Select Status"
Save,Save
Submit,Submit
"Last Transactions","Last Transactions"
Description,Description
"Expiration Date","Expiration Date"
"Points: ","Points: "
"No Reward Points","No Reward Points"
"Shop with Us and Earn Reward Points!","Shop with Us and Earn Reward Points!"
"Submit your review to ","Submit your review to "
"No customers added. Please add customers.","No customers added. Please add customers."
"Previous Page","Previous Page"
"Next Page","Next Page"
"Hello %customername, ","Hello %customername, "
%message,%message
"Hello,","Hello,"
"You have got the invitation.","You have got the invitation."
"Open the below link and complete the registration process.","Open the below link and complete the registration process."
%message1,%message1
earn,earn
"Apply Reward Point","Apply Reward Point"
" equals to "," equals to "
"Apply Reward Points","Apply Reward Points"
" Rewards "," Rewards "
" Rewards )"," Rewards )"
"Apply Reward Point's","Apply Reward Point's"
"Register for become user and","Register for become user and"
Earn,Earn
"click here","click here"
"to Register","to Register"
"Are you sure you want to set reward points on selected product?","Are you sure you want to set reward points on selected product?"
"Please Select Products To Assign Reward Points","Please Select Products To Assign Reward Points"
"Are you sure you want to set reward points on selected category?","Are you sure you want to set reward points on selected category?"
"Please Select Categories To Assign Reward Points","Please Select Categories To Assign Reward Points"
Saving,Saving
"Your reward was successfully cancelled","Your reward was successfully cancelled"
"Your reward was successfully applied","Your reward was successfully applied"
Webkul,Webkul
"Reward System","Reward System"
"General Settings of Reward Points","General Settings of Reward Points"
"Enable Reward System Module","Enable Reward System Module"
"1 Reward Point Value is Equals to","1 Reward Point Value is Equals to"
"e.g. 10","e.g. 10"
"Maximum Reward Points can Assign to a Customer","Maximum Reward Points can Assign to a Customer"
"e.g. 1000 (Maximum number of points assign to a customer)","e.g. 1000 (Maximum number of points assign to a customer)"
"Maximum Reward Points can be Used By a Customer","Maximum Reward Points can be Used By a Customer"
"e.g. 1000 (Maximum number of points can be used by the customer at the time of order place)","e.g. 1000 (Maximum number of points can be used by the customer at the time of order place)"
"Allow Reward Points on Registration","Allow Reward Points on Registration"
"Reward Points On Registration","Reward Points On Registration"
"Allow Reward Points on Product Review","Allow Reward Points on Product Review"
"Reward Points On Product Review","Reward Points On Product Review"
"Order Placed Reward Points Applied When","Order Placed Reward Points Applied When"
"Reward points for placed order will Approved on the selected event.","Reward points for placed order will Approved on the selected event."
"Order Placed Reward Points Calculation Based On","Order Placed Reward Points Calculation Based On"
"Reward points for placed order will calculate based on Product/Cart/Category.","Reward points for placed order will calculate based on Product/Cart/Category."
"Rewards Applied product's Quantity wise","Rewards Applied product's Quantity wise"
"If yes then reward points will apply product's quantity wise.","If yes then reward points will apply product's quantity wise."
"Select Attribute Code","Select Attribute Code"
"Please select attribute for attribute rule.","Please select attribute for attribute rule."
"Allow Reward Points on Customer Birthday","Allow Reward Points on Customer Birthday"
"Configure Reward Point on Birthday Day(s)","Configure Reward Point on Birthday Day(s)"
"Reward points credit to customer after/before days of the customer birthday, if you want to credit reward before the birthday then write days with (-) sign for eg: -3 and if you want to credit reward after birthday then only write number of days for eg: 3 or if you want to credit reward on the day of birthday then write zero (0).","Reward points credit to customer after/before days of the customer birthday, if you want to credit reward before the birthday then write days with (-) sign for eg: -3 and if you want to credit reward after birthday then only write number of days for eg: 3 or if you want to credit reward on the day of birthday then write zero (0)."
"Reward Points On Birthday","Reward Points On Birthday"
"Reward points expire after days","Reward points expire after days"
"Write 0 if you don't want to set expiry for the points","Write 0 if you don't want to set expiry for the points"
"Send notification before points expiring (in days)","Send notification before points expiring (in days)"
"Set as 'Yes' to show reward information on customer's reward points page","Set as 'Yes' to show reward information on customer's reward points page"
Content,Content
"Fill the information that you want to show on customer's reward points page","Fill the information that you want to show on customer's reward points page"
"Reward Page Title","Reward Page Title"
"e.g Reward Points","e.g Reward Points"
"Display Banner","Display Banner"
"Banner Image","Banner Image"
"Banner Heading","Banner Heading"
"This content will be display over the banner image in the reward program page url-www.yourwebsite.com/reward/index/program","This content will be display over the banner image in the reward program page url-www.yourwebsite.com/reward/index/program"
"Banner Text","Banner Text"
"Reward Page Label1","Reward Page Label1"
"Reward Page Content","Reward Page Content"
"Reward Flow Image","Reward Flow Image"
"Set as 'Yes' to enable referral program","Set as 'Yes' to enable referral program"
"Reward Points For Customer","Reward Points For Customer"
"Reward Points For Referee","Reward Points For Referee"
"Fill the information that you want to show on referral program page","Fill the information that you want to show on referral program page"
"Cron Setting","Cron Setting"
Frequency,Frequency
"Reports Section","Reports Section"
"Set as 'Yes' to show reward section in the admin reports","Set as 'Yes' to show reward section in the admin reports"
"Manage Email Settings","Manage Email Settings"
"Reward Transaction Template","Reward Transaction Template"
"Reward Expiry Email Template","Reward Expiry Email Template"
"Referral Invitation Email Template","Referral Invitation Email Template"
"Cart Rule Status","Cart Rule Status"
"Are you sure to update status of selected Cart Rules?","Are you sure to update status of selected Cart Rules?"
"Attribute Rule Status","Attribute Rule Status"
"Are you sure to update status of selected Rule(s)?","Are you sure to update status of selected Rule(s)?"
ID,ID
"Customer Name","Customer Name"
"Customer Email","Customer Email"
Phone,Phone
ZIP,ZIP
Country,Country
State/Province,State/Province
"Customer Since","Customer Since"
"Web Site","Web Site"
"Confirmed email","Confirmed email"
"Account Created in","Account Created in"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Tax VAT Number","Tax VAT Number"
Gender,Gender
"Street Address","Street Address"
City,City
Fax,Fax
"VAT Number","VAT Number"
Company,Company
"Billing Firstname","Billing Firstname"
"Billing Lastname","Billing Lastname"
"Account Lock","Account Lock"
Transaction,Transaction
"Prefered Action","Prefered Action"
"Enter Reward Points.","Enter Reward Points."
"Note Message","Note Message"
"Enter your message which you want to show for this transaction.","Enter your message which you want to show for this transaction."
Customers,Customers
"Add Customer","Add Customer"
"Add Selected Customers","Add Selected Customers"
"Add Customers","Add Customers"
Customer,Customer
Magento_Ui/js/dynamic-rows/record,Magento_Ui/js/dynamic-rows/record
"Add New Rule","Add New Rule"
Delete,Delete
"Delete items","Delete items"
"Are you sure you want to delete selected rule(s)?","Are you sure you want to delete selected rule(s)?"
"Update Attribute Rule","Update Attribute Rule"
"Option Label","Option Label"
"Created At","Created At"
"Add New Cart Rule","Add New Cart Rule"
"Are you sure you want to delete selected cart rules?","Are you sure you want to delete selected cart rules?"
"Update Cart Rule","Update Cart Rule"
"Start Date","Start Date"
"Add New Transaction","Add New Transaction"
"Customer Id","Customer Id"
"Total Reward Points","Total Reward Points"
"Remaining Reward Points","Remaining Reward Points"
"Used Reward Points","Used Reward Points"
"Transaction At","Transaction At"
Action,Action
Note,Note
"My Reward Points","My Reward Points"
"Reward Points:","Reward Points:"
