"This item is being added to your shopping cart","تتم إضافة هذا العنصر إلى سلة التسوق الخاصة بك"
"Subtotal","المجموع الفرعي"
"Subtotal Incl Tax","المجموع الفرعي شامل الضريبة"
"Subtotal Excl Tax","المجموع الفرعي باستثناء الضريبة"
"Cart Summary","ملخص عربة التسحوق"
